sport,event,year,athlete_id,country_id,medal
Swimming,Swimming Men's 200 metres Breaststroke,2016,10217,73,
Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,2016,10257,195,Gold
Track and Field,Women's Marathon,2016,10351,166,
Track and Field,Men's Marathon,2016,10582,63,
Track and Field,Men's 800 metres,2016,10585,195,
Track and Field,"Women's 3,000 metres Steeplechase",2016,10691,34,
Swimming,Swimming Men's 200 metres Freestyle,2016,10737,84,
Swimming,Swimming Men's 400 metres Freestyle,2016,10737,84,
Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,2016,10737,84,
Track and Field,Women's Hammer Throw,2016,10802,195,
Track and Field,Women's Marathon,2016,10900,92,
Track and Field,Men's 400 metres,2016,10969,58,
Swimming,Swimming Men's 50 metres Freestyle,2016,10980,21,
Track and Field,Men's 100 metres,2016,11006,155,
Track and Field,Men's 400 metres Hurdles,2016,11055,97,
Track and Field,"Women's 3,000 metres Steeplechase",2016,11065,3,
Gymnastics,Gymnastics Men's Individual All-Around,2016,11106,73,
Gymnastics,Gymnastics Men's Team All-Around,2016,11106,73,
Gymnastics,Gymnastics Men's Floor Exercise,2016,11106,73,
Gymnastics,Gymnastics Men's Parallel Bars,2016,11106,73,
Gymnastics,Gymnastics Men's Horizontal Bar,2016,11106,73,
Gymnastics,Gymnastics Men's Rings,2016,11106,73,
Gymnastics,Gymnastics Men's Pommelled Horse,2016,11106,73,
Track and Field,"Men's 3,000 metres Steeplechase",2016,11151,63,
Track and Field,Men's 100 metres,2016,11181,116,
Track and Field,"Women's 1,500 metres",2016,11203,129,
Track and Field,Women's Shot Put,2016,11238,40,
Swimming,Swimming Women's 100 metres Butterfly,2016,11254,92,
Swimming,Swimming Women's 4 x 100 metres Medley Relay,2016,11254,92,
Track and Field,Women's 400 metres,2016,11295,193,
Track and Field,Women's 4 x 400 metres Relay,2016,11295,193,
Swimming,Swimming Men's 200 metres Freestyle,2016,11351,71,
Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,2016,11351,71,
Track and Field,Men's 800 metres,2016,11364,150,
Gymnastics,Gymnastics Women's Individual All-Around,2016,11495,195,Gold
Gymnastics,Gymnastics Women's Team All-Around,2016,11495,195,Gold
Gymnastics,Gymnastics Women's Floor Exercise,2016,11495,195,Gold
Gymnastics,Gymnastics Women's Horse Vault,2016,11495,195,Gold
Gymnastics,Gymnastics Women's Uneven Bars,2016,11495,195,
Gymnastics,Gymnastics Women's Balance Beam,2016,11495,195,Bronze
Swimming,Swimming Men's 50 metres Freestyle,2016,11510,108,
Swimming,Swimming Men's 100 metres Freestyle,2016,11510,108,
Swimming,Swimming Men's 4 x 100 metres Medley Relay,2016,11510,108,
Track and Field,Women's 100 metres Hurdles,2016,11516,67,
Track and Field,Men's 50 kilometres Walk,2016,11538,34,
Track and Field,Men's 100 metres,2016,11611,68,
Track and Field,Women's 100 metres,2016,11615,34,
Track and Field,Women's 4 x 100 metres Relay,2016,11615,34,
Track and Field,Men's 20 kilometres Walk,2016,11673,11,Bronze
Track and Field,Men's Shot Put,2016,11699,11,
Track and Field,Women's 800 metres,2016,11787,34,
Track and Field,Men's Marathon,2016,11866,97,
